安全な薬	
PNP	"A02BC02 ·パントプラゾール 酸関連疾患治療薬
アネステロック·アステロク·コンティックス·コントロロック·ガストロスタッド·ゲルディン· ipp ·ノアシッド·ノルパザ·オジオン·パミル·パンプラゾックス·パンラゾール ·パントロク·パントプラズ·パントプラゾール·パントプラゾール·パントプラゾーロ·パントレナ·パンシス·パンゾル·パントゾルコントロロック·パンゾール·ポルパント·ランロック·ソマック"
PNP	"A02BC03 ·ランソプラゾール  酸関連疾患治療薬
ガステリックス・ジャコプラゾール・ランソプラム・ランソプラゾール・ランソプラゾール・ランボン・ランゾ・ランズル・レナゾール・ザランゾ・ゾルト"
PNP	"A02BC04 ·ラベプラゾール  酸関連疾患治療薬
パリエット・ラベプラゾール・ラリック・ズルベックス"
PNP	"A02BC05 ·エソメプラゾール  酸関連疾患治療薬
Abigerd · Acidal · Dansiglat · Emanera · Esodec · Esogasec · Esomel · Esomeprazol · Esomeprazol Alugastrin · Esomeprazole · Esopol · Esoprax · Esopraz · Esoref · Etizol · Helides · Mesopral · Nexium · Nexizol · Prazolene · Stomezul · Texibax · Ulcerex"
PNP	"A02BD02 ·ランソプラゾール、テトラサイクリン、メトロニダゾール 酸関連疾患治療薬
ランソプラゾール、テトラサイクリン、メトロニダゾール"
PNP	"A02BD03 ·ランソプラゾール、アモキシシリン、メトロニダゾール  酸関連疾患治療薬
ランソプラゾール、アモクシシリン、メトロニダゾール"
PNP	"A02BD08 ·ビスマスサブクエン酸塩、テトラサイクリン、メトロニダゾール 酸 関連疾患治療薬
ピレラ・ビスムット・サブシトラット、テトラシクリン、メトロニダゾール"
NP	"A02BX02 ·スクラルファート 酸関連疾患治療薬
アンテプシン·ペプトノーム·スクララン·スクラルファト·ウルガストラン"
PNP	"A02BX05 ·次クエン酸ビスマス  酸関連疾患治療薬
ウルカメド・ビスムート・サブシトラート"
NP	"A02BX13 ·アルギン酸系 薬剤（酸関連疾患治療薬）
アルギンサイア、クローリーブ、ガリーブ、ガーバリブ、ガビスコン、レキリーブ"
PNP	"A03AA04 ·メベベリン 機能性消化器疾患治療薬
アウロベリン・デュスパタル・デュスパタリン・メベリン・メベベリン・メベベリン塩酸塩"
PNP	"A03AB02 ·グリコピロニウム臭化物 機能性消化器疾患治療薬
グリコピロレート・グリコピロニウム・グリコピロニウムブロミド・グリコピロニウムブロミジ・グリロヌル・ロビヌル・シアラナール"
NP	"A03AX13 ·シリコーン 機能性消化器疾患治療薬
ボボティック·キュプラトン·エスプミサン·エスプミサン フォルテ·エスピュティコン·イモガス ·イモゲイズ·インファコール · ミニフォーム·シリコンフォルビンデルサー·シメット·シメティコン"
PNP	"A03BA01 ·アトロピン 機能性消化器疾患治療薬
アトロピン·アトロピン·アトロピン硫酸塩·アトロピン硫酸塩·ベラパン·ラファジェクト"
PNP	"A03BA03 · 機能性消化器疾患治療薬ヒヨスチアミン
ヒヨスチアミン​"
PNP	"A03BB01 ·ブチルスコポラミン 機能性消化器疾患治療薬
アウロガストロ・ブマコール・ブモファーム・ブスコリシン・ブスコパン・ブスコパンフォルテ・ブチルスコポラミン・スコポラミン臭化ブチル・スコポラン・スコポラミン臭化ブチル"
PNP	"A03FA01 ·メトクロプラミド 機能性消化器疾患治療薬
アフィプラン・メトクロプラミド・メトクロプラミジ・メトクロプラミダム・メトクロプラミド・オラミド・プリムペラン"
PNP	"A04AA01 ·オンダンセトロン 制吐剤および制吐剤
アトッサ·シンベロン·エメオンダン·オンダンセトロン·オンダントリワ·リモンダン·セトロゲン·セトロンダン·セトロノン·ティフィセトロン·ゾフラン"
PNP	"A04AA02 ·グラニセトロン 制吐薬および抗吐き気薬
ガゾロン・グラネム・グラニセトロン・グラニシム・キトリル・サンクーソ"
PNP	"A04AA03 ·トロピセトロン 制吐剤および制吐剤
ナボバン・トロピセトロン"
PNP	"A04AA05 ·パロノセトロン 制吐剤および制吐剤
アロキシ・パロノセトロン・パロノセトロン塩酸塩・パロノセトロム"
PNP	"A04AD01 ·スコポラミン 制吐剤および制吐剤
スコポデルム・スコポラミン"
NP	"A05AA02 ·ウルソデオキシコール酸 胆汁および肝臓治療
Aurourso · Proursan · Urgaldex · Ursocam · Ursochol · Ursodeoksykolsyre · Ursodeoxycholic Acid · Ursodeoxycholsyre · Ursofalk · Ursogrix · Ursopol · Ursosan · Ursoxyn"
PNP	"A06AB02 ·ビサコジル 便秘 薬
ビサコジル・ビサコジル・ダルコビス・ダルコラックス・トイラックス"
NP	"A06AB06 ·センナ配糖体 便秘薬
プルセニド·セナラックス·セネフォル·セネス·センナグリコシダー·ゼナ"
NP	"A06AB08 ·ピコスルファートナトリウム 便秘薬
アクティラックス、ラキソベラル、ラキソベロン、ナトリウム硫酸塩、オリラクサル、ピコリオン、ピコピル"
PNP	"A06AB57 ·カスカラ、 便秘治療薬の配合剤
サグラダ、コンビナショナー"
PNP	"A06AB58 ·ピコスルファートナトリウム、 便秘治療薬の配合剤
Citrafleet · Natriumpikosulfat、Kombinasjoner · Picoprep"
PNP	"A06AC01 ·イソパグラ（キジラ種子） 便秘薬
ハスク サイリウム フロスカーラー·イスパグラ (ロペフロ) ·ヴィ-シブリン"
NP	"A06AC03 ·ステルクリアの 便秘薬
ステルクリア"
PNP	"A06AC07 ·便秘 治療薬（小麦繊維）
ファイバーフォーム・Hvetefiber"
PNP	"A06AC51 ·イソパグラ、 便秘治療薬の配合剤
アジオクル・イスパグラ、コンビナショナー"
NP	"A06AD02 ·便秘 治療薬（酸化マグネシウム）
マグネシウムオキシド"
NP	"A06AD10 · 便秘治療薬（ミネラル塩配合剤）
エジクレン・コンビナショナー av ミネラルソルター"
NP	"A06AD11 ·ラクツロース 便秘薬
デュファラック、ラクツロス、ラクツロース、ラクツロサム、ラクツロサムフォルテ、ラクツファーム、ラクツロース、レボラック、メディラックス、ノーマラック"
NP	"A06AD12 ·ラクチトール 便秘薬
インポート・ラクチトール"
NP	"A06AD15 ·マクロゴール 便秘薬
カセンラックス、フォルラックス、マクロゴール、マクロゴール、マクロゴリ、オロペグ、ペゴリオン、ペグロス、スムースラックス"
NP	"A06AD17 ·リン酸ナトリウム 便秘薬
コロクリア・リン酸ナトリウム・リン酸塩"
NP	"A06AD65 ·マクロゴール、 便秘治療薬の配合剤
アブドミン、オーロゴ、クレンシア、コロンステリル、コスモコール、デュファゴール、フォルトランス、ガンギデン、クリーンプレップ、ラクロファーム、ラクサボン、ラキシリバ、マクロビック、マクロゴール、コンビナスヨナー、モビコール、モビコールgo、モビプレップ、モクサロール、プレンブ、サクロビッチ、ビスタプレップ"
NP	"A06AG02 ·ビサコジル 便秘 治療薬
ビサコジル・トイレラックス"
NP	"A06AG07 ·ソルビトール 便秘薬
ソルビトール"
NP	"A06AG10 ·ドキュセートナトリウム（配合剤を含む） 便秘治療薬
ドクサトナトリウム、Inkl。コンビナスヨナー·グリオクティル·クリックス"
NP	"A06AG11 ·ラウリルスルホ酢酸ナトリウム（配合剤を含む） 便秘治療薬
Ｍｉｃｒｏｌａｘ・ナトリウムラウリルスルホアセタット、Ｉｎｋｌ．コンビナスヨナー"
PNP	"A06AH01 ·メチルナルトレキソン臭化物 便秘治療薬
メチルナルトレクソンブロミド・リリストア"
NP	"A06AX02 ·二酸化炭素産生薬 便秘薬
カルボンディオクシダネンデ ミドラー・レシカーボン"
NP	"A07AA02 ·ナイスタチン 下痢止め、腸管抗炎症剤／抗感染剤
モロナール·ミコスタチン·マイクンデックス·ニスカンジン·ニスタポール·ナイスタチン·ニススタチナ·ニスティメックス"
PNP	"A07AA06 ·パロモマイシン 下痢止め、腸管抗炎症剤／抗感染剤
斑状斑点・フマチン・パロモマイシン"
PNP	"A07AA09 ·バンコマイシン 下痢止め、腸管抗炎症剤／抗感染剤
バンコシン・バンコマイシン・バンコマイシン・バンコマイシン"
PNP	"A07AA12 ·フィダキソ マイシン 下痢止め、腸管抗炎症剤／抗感染剤
ディフィクリール・フィダクソマイシン"
NP	"A07BA01 ·薬用炭 下痢止め、腸内抗炎症剤／抗感染剤
Actidose-Aqua · Aktivt kul · Carbo Activ · Carbo Medicinalis · Carbomix · Charfarm · Kohle · Kohle-Compretten · Kolsuspension · Kull · Medisinsk Kull · Norit Carbomix · Wegiel Leczniczy"
PNP	"A07DA03 ·ロペラミド 下痢止め、腸管抗炎症剤／抗感染剤
アウロブロック、アウロストップ、ディセンテン、イメックス、イモキュア、イモジウム、イモロペ、イモロペラ、ラレミド、ロパカット、ロパー、ロペラミド、ロペックス、ロリタックス、サルバコリナ、ソルゼム、ストペラン"
PNP	"A07DA05ロペラミドオキシド 下痢止め、腸管抗炎症剤／抗感染剤
ロペラミドキシド"
PNP	"A07DA53 ·ロペラミド、 下痢止め、腸管抗炎症剤／抗感染剤の配合剤
Imodium Comp · Imodium Plus · Imolopesim · Loperamid, Kombinasjoner"
PNP	"A07EA01 ·プレドニゾロン 下痢止め、腸管抗炎症剤／抗感染剤
プレドニゾロン"
PNP	"A07EA02 ·ヒドロコルチゾン 下痢止め、腸管抗炎症剤／抗感染剤
コリフォーム・コルテネマ・ヒドロコルチゾン"
PNP	"A07EA03 ·プレドニゾン 下痢止め、腸管抗炎症剤／抗感染剤
プレドニゾン"
PNP	"A07EA06 ·ブデソニド 下痢止め、腸管抗炎症剤／抗感染剤
ブデクロン·ブデノケア·ブデノファルク· ブデノパー·ブデソニド·コルティメント·コルティメントmmx ·エントコート·ジョルベザ·キンペイゴ·キシロブド"
NP	"A07EB01 ·クロモグリク酸 下痢止め、腸管抗炎症剤／抗感染剤
アレルゴーバル、クロモリン、ロムダル、ナルクロム、ナトリウムクロモグリカット、ペンタトップ"
PNP	"A07EC02 ·メサラジン 下痢止め、腸管抗炎症剤／抗感染剤
アサコール、アサマックス、クロナックス、グランメサ、メサラジン、メサヴァンコル、メザヴァント、ペンタサ、キンタサ、サラザ、サロフォーク"
PNP	"A07EC03 ·オルサラジン 下痢止め、腸管抗炎症剤／抗感染剤
ジペンタム・オルサラジン"
PNP	"A07EC04 ·バルサラジド 下痢止め、腸管抗炎症剤／抗感染剤
バルサラジド・コラジド・プレミド"
NP	"A07FA02 ·サッカロミセス・ブラウディ 下痢止め、腸管抗炎症剤／抗感染剤
コーデックス·エンテロール·エンテロールフォルテ·ラクシッドエンテロ·ペレンテロールフォルテ·ペロクール·プレコサ·サッカロミセス・ブラルディ"
PNP	"A08AA10シブトラミン配合 抗肥満製剤（ダイエット製品を除く）
シブトラミン"
NP	"A08AB01 ·オルリスタット 抗肥満製剤（ダイエット製品を除く）
アリ・オルリスタット・ゼニカル"
NP	"A09AA02 ·マルチ酵素（リパーゼ、プロテアーゼなど） 消化酵素を含む
クレオン・クレオン・リパンクレア・ミクラジム・マルチエンザイム（リパーゼ、プロテアーゼなど）・ネオパンクレアチナムフォルテ・パンクレックス・パングロール・ペルツィエ"
NP	"A09AB01 ·グルタミン酸塩酸塩 消化剤、含む。酵素
アシグルミン・グルタミンシルヒドロクロリド"
NP	"A10AB01 ·インスリン（ヒト） 糖尿病治療薬
アクトラピッド·ゲンスリン r ·フムリン·フムリン r ·インプレムジア·インスリン (ヒト) ·インスマン·ポルフミン·ポルフミン r"
NP	"A10AB04 ·インスリンリスプロ 糖尿病治療薬
ヒューマログ・ヒューマログ・ヒューマジェクト・インスリンリスプロ・リプロログ・リュムジェフ"
NP	"A10AB05 ·インスリンアスパルト  糖尿病治療薬
フィアスプ・インスリンアスパルト・カースティ・ノボミックス・ノボラピッド"
NP	"A10AB06 ·インスリングルリジン 糖尿病治療薬
アピドラ・インスリングルリシン"
NP	"A10AC01 ·インスリン（ヒト） 糖尿病治療薬
ゲンスリン・フムリン・インシュラタード・インスリン（ヒト）・インスマン・ミックスタード・ポルフミン・プロタファン"
NP	"A10AD01 ·インスリン（ヒト） 糖尿病治療薬
アクタファン・ゲンスリン・フムリン・インスリン（ヒト）・インスマンコーム・ミックスタード・ポルフミン"
NP	"A10AD05 ·インスリンアスパルト  糖尿病治療薬
インスリンアスパルト・ノボミックス・トゥルーベログ"
NP	"A10AE01 ·インスリン（ヒト） 糖尿病治療薬
インスリン（ヒト）"
NP	"A10AE04 ·インスリン グラルギン 糖尿病治療薬
アバサグラル、インスリン グラルギン、ランタス、オンディブタ、セングリー、トゥジェオ"
NP	"A10AE05 ·インスリンデテミル 糖尿病治療薬
インスリンデテミル・レベミル"
NP	"A10AE06 ·インスリンデグルデク 糖尿病治療薬
インスリンデグルデク・トレシーバ"
PNP	"A10AE56 ·インスリンデグルデクおよびリラグルチド 糖尿病治療薬
インスリン デグルデクとリラグルチド·スルトフィー"
NP	"A10BA02 ·メトホルミン 糖​​尿病治療薬
アブメトフィナ、アバミナ、ディアブフォー、エトフォーム、フォルメティック、フォルミネット、グルコファージ、イルカ、リオメット、メラジン、メトクリーン、メトフォレム、メトフォルマックス、メトホルミン、ミトフォルゲン、ノルモトン、オラメット、ランメット、シオフォー、シンフォルミン、シンバン、バリマー、ズベレックス、ゼノフォー"
PNP	"A10BB07 ·グリピジド 糖尿病治療薬
グリベネース・グリピジド・グリピジド・ミノジアブ"
PNP	"A10BB12 ·グリメピリド 糖尿病治療薬
アマリル、ディアリル、グリベティック、グリメヘキサル、グリメピリド、グリメピリド、グリメリル、グリミプリックス、グリモノル、グリモリオン、グリトプレル、オルター、プリグライド、シムグリック"
PNP	"A10BD05 · 糖尿病治療薬であるメトホルミンとピオグリタゾン
コンペタクト·グルブラバ·メトホルミン or ピオグリタゾン"
PNP	"A10BD07 · 糖尿病治療薬であるメトホルミンとシタグリプチン
Ansifora · Asigefort · Asitalip · Brandasit · co-Fineria · Combodiab · Depepsit · Efficib · Eprocliv · Fordiab · Glerova · Jamesi · Jansitin · Janumet · Juzimette · Lonamo · Maymetsi · Metformax · Metformin / Sitagliptin · Metsigletic · Mifomet · Ristfor · Sademlip · Sitaformil · Symetlip · Sytagliptyna + Metforminy Chlorowodorek · Sytena Plus · Velmetia"
PNP	"A10BD08 · 糖尿病治療薬であるメトホルミンとビルダグリプチン
アガルタ·アリクヴァル·アンヴィルディス·ダルテックス·ディプティヴィル·ユークレアス·グリプティヴィル·グルアメット·イカンドラ·イピンザン·メルカルト·メトホルミン / ビルダグリプチン·メトホルミン or ビルダグリプチン·ペルヌヴィ·トゥテクヴィ·ヴェドファ·ヴェルダメット·ヴェルダメット·ヴィルメニオ·ヴィメツォ·ゾマリスト"
PNP	"A10BD10 · 糖尿病治療薬であるメトホルミンとサキサグリプチン
コンボグリゼ・メトホルミン、サクサグリプチン"
PNP	"A10BD11 · 糖尿病治療薬であるメトホルミンとリナグリプチン
オートナミ·グリメティア·ジェンタデュエト·リグリフェフ·リナグリプチン / メトホルミン·マルシアロ·メグリタン·メトホルミン or リナグリプチン·ナギルマ"
PNP	"A10BD15 · 糖尿病治療薬であるメトホルミンとダパグリフロジン
ダパグリフロジン / メトホルミン·ディアフリックス·エビメクト·メトホルミン og ダパグリフロジン·メクスダグリ·ラスカル·シグデュオ"
PNP	"A10BD19 · 糖尿病に使用されるリナグリプチンとエンパグリフロジンの薬剤
グリクサンビ・リナグリプチンまたはエンパグリフロジン"
PNP	"A10BD20 · 糖尿病治療薬であるメトホルミンとエンパグリフロジン
Appref ·エンパグリフロジン / メトホルミン·メトホルミン og エンパグリフロジン·シンジャルディ·ウルルム"
PNP	"A10BD21 ·サキサグリプチンとダパグリフロジン： 糖尿病治療薬
クターン・サクサグリプチンまたはダパグリフロジン"
NP	"A10BF01・アカルボース  糖尿病治療薬
アカルボース・アデクサ・アカルボース・グルコベイ"
PNP	"A10BF02・ミグリトール  糖尿病治療薬
ミグリトール"
PNP	"A10BG03 ·ピオグリタゾン 糖尿病治療薬
アクトス・グリディピオン・パグリタズ・ピオグリタゾン・ピオグリタゾン"
PNP	"A10BH01 ·シタグリプチン 糖尿病治療薬
アディムプラン·アンシフォラ·フレキディル·ジャンシチン·ジャヌビア·ジャゼタ·ジュジナ·ロナモ·メイシグル·メリグリックス·ミフォグラム·フィングロウム·リスタベン·シグレティック·シムレリド·シタグリプチン·スプロビア·シムグリプチン·シテナ·テサベル·ゼレビア"
PNP	"A10BH02 ·ビルダグリプチン 糖尿病治療薬
アガルタ·アグニス·アリクヴァル·アンヴィルディス·ディプティビル·ガルヴァス · グルアッダ·グリプヴィロ·ジャルラ·クウィカトン·メルカルト·ペルヌヴィ·ヴィグリタ·ヴィルダグリプチン·キシリアルクス"
PNP	"A10BH03 ·サキサグリプチン 糖尿病治療薬
オングリザ・サクサグリプチン"
PNP	"A10BH05 ·リナグリプチン 糖尿病治療薬
ジェリゴ・リアメル・リグリンラ・リナグリプチン・リナサン・リナトラ・リンクサラム・ネロビレン・ネゾディア・プリガント・レキバ・サンシク・ティンガプラ・トラジェンタ・ジフォカム"
PNP	"A10BJ01 ·エキセナチド 糖尿病治療薬
ビデュレオン·ビエッタ·エクゼナティド"
PNP	"A10BJ02 ·リラグルチド 糖尿病治療薬
Byesilor · Diavic · Ejulir · Inatord · Liraglutid · Metlyra · Milmiga · Nevolat · Plyzari · Polidia · Saxenda · Triglyva · Victoza · Zegluxen"
PNP	"A10BJ03 ·リキシセナチド 糖尿病治療薬
リクシセナティド・リクサムア"
PNP	"A10BJ05 ·デュラグルチド 糖尿病治療薬
デュラグルチド・トルリシティ"
PNP	"A10BJ06 ·セマグルチド 糖尿病治療薬
ケイシルド·オゼンピック·リベルスス·セマグルティド·ウェゴヴィ"
PNP	"A10BK01 ·ダパグリフロジン 糖尿病治療薬
ダフォルビス·ダゲティア·ダグラフォルス·ダパグリフロジン·ダパグリフロジナ·ダパグリフォジン·ダパジナ·ディアフリックス·ドフリガ·エディストライド·フィゴザップ·フォシーガ·オデルニクヴァ·ゼディラルフ"
PNP	"A10BK03 ·エンパグリフロジン 糖尿病治療薬
ビフォグラン、エンパグリフロジン、エンペリック、エプレカヴォール、ジャルディアンス、マスレンプリア、レンポコニア、ヨメクレイ"
PNP	"A10BX02・レパグリニド  糖尿病治療薬
エニグリッド・ノボノルム・プランジン・レパグリニド・レパグリニド"
PNP	"A10BX03 ·ナテグリニド 糖尿病治療薬
ナテグリニド・スターリックス・トラゼック"
PNP	"A10BX16 ·チゼパチド 糖尿病治療薬
ムンジャロ・ティルゼパティド"
NP	"A11AA01 ·マルチビタミンと鉄分 ビタミン
マルチビタミンとジェーン"
NP	"A11CA01・レチノール（ビタミンA） ビタミン
レチノール (ビタミン a) ·ビタミン a ·ビタミン a ·ビタミン a"
NP	"A11CB ·ビタミンAとDの複合 ビタミン
ビタミンAとビタミンD"
PNP	"A11CC02 ·ジヒドロタキステロール ビタミン
ジヒドロタキステロール"
PNP	"A11CC03 ·アルファカルシドール ビタミン
アルファカルシドール·アルファカルシドールカンデ·アルファジオール·アルファカルシドール·エタルファ"
PNP	"A11CC04 ·カルシトリオール ビタミン
デコストリオール、デトリオール、カルシトリオール、ロカルトロール"
PNP	"A11CC05 ·コレカルシフェロール ビタミン
アネクソ·アポッド3 ·ベンフェロール·ボンセル·カルサス·コレカルシフェロール·コレカルシフェロール· d3-ヴィコトラット·デクロール·デクリストル·デクリストルフォルテ·デトレミン·デトリカル·デトリチン·デビカップ·ディプリミス·ディビファーム·ディヴィサン·フェディベル·フルティウム·フルティウム-d3 ·イブビット d3 ·ジェコビットd3 ·ジュビット d3 ·コレカルシフェロール·ナイコプラス d3-ビタミン·オルビット d3 ·プロディウィット·ソルデロール·ソリガンマ·トーレンズ·ビガレックス·ビガレックス バイオ·ビガレックス フォルテ·ビガントール·ビガントレッテン·ビガントルビット·ビタミン d3 ·ウィダット"
NP	"A11DA01 ·チアミン（ビタミンB1） ビタミン
ビタミンb1 ·ベネルバ·ベビオーネ·ノイラミン·チアミン·チアミン塩酸塩·チアタム·チアミン·チアミン (ビタミン b1) ·ビタミン b1 ·ビタミン b1-インジェクトパス·ビタミン b1"
NP	"A11DB ·ビタミンB1とビタミンB6および/またはビタミンB12の組み合わせ ビタミン
ベタネルブ・インビタキソン・ミルガンマ・ネイラタックス・ネイラキシン・ニューロビオン・ニューロビオンフォルテ・ニューロマックスフォルテ・ニューロビット・ビタミンB1+B6+B12・ビタミンB1+B6"
NP	"A11EAビタミンB複合体、プレーン ビタミン
b-Combin ·ベビトリオ·マルチビット-b ·マルチビット-b フォルテ·トリオブ·ビタミン b ·ビタミン b-Kompleks, Usammensatte ·ビタミン b"
NP	"A11EBビタミンB複合体とビタミンC配合 ビタミン
シビビン·パブリネックス·レナビット·シンドレックス·ビタミン b-Kompleks med ビタミン c ·ビタミン b+c ·ズバットミン"
NP	"A11EX ·ビタミンB複合体、その他の組み合わせ ビタミン
ケトバイト·マルビトナ·レナビト·ビタミン b-Kompleks、Andre Kombinasjoner"
NP	"A11GA01 ·アスコルビン酸（ビタミンC） ビタミン
アシダム アスコルビカム·アスコルビン酸·アスコルビンシレ·アスコルゲム·アスコルビタ·アスコビンシレ (ビタミン c) · c-ビミン· c-ビタミン·セビオン·ドロアイス·イブビット c ·ジュビット c ·メガ c ·パスコルビン·ルチノコルビン ウィタミナ c フォルテ· ヴィシ·ビタジェムc ·ビタミン c ·ビタミン c ·ビタミン c"
NP	"A11GB01 ·アスコルビン酸（ビタミンC）とカルシウム ビタミン
アスコビンシアー (ビタミン C) OG カルシウム・カルシウム + ビタミン C"
NP	"A11HA02 ·ピリドキシン (ビタミン b6) ビタミン
b-6 ·ベナドン·ピリドクシン·ピリドクシン (ビタミン b6) ·スローマグ b6 ·ビタ-b6 ·ビタミン b-6 ·ビタミン b6 ·ビタミン b6"
NP	"A11HA03 ·トコフェロール（ビタミンE） ビタミン
トコフェロール (ビタミン e) ·トコビット e ·ビタミン e ·ビタミン e"
NP	"A11JB ·ビタミンとミネラル ビタミン
ビオチノジン・ビタミンb・ビタミナメッドミネララー"
NP	"A11JC ·ビタミン、その他の組み合わせ ビタミン
プリザビジョン・ビタミナー、アンドレ・コンビナスヨナー"
NP	"A12AA02 ·グルコシドカルシウム ミネラルサプリメント
グルビオン酸カリウム"
NP	"A12AA04 ·炭酸カルシウム ミネラルサプリメント
Calcichew · Calcium · Calperos · Kalcipos · Kalsiumkarbonat"
NP	"A12AA06 ·乳酸グルコン酸カルシウム ミネラルサプリメント
カルシウム·カルシウムフォルテ·カルシウムラクトグルコナト"
NP	"A12AA07 ·塩化カルシウム ミネラルサプリメント
カルシウム クロラタム·カルシクール·カルシウムクロリド·カルシウムクロリド"
PNP	"A12AX・カルシウム、ビタミンDおよび／または他の薬剤との併用  ミネラルサプリメント
ベンシウム·ボーンバム·カルシチュウ d3 ·カルシチュウ d3 フォルテ·カルシチュウ d3 オプティ·カルシチュウ d3 フォルテ·カルシグラン フォルテ·カルシウム·カルシウム + コレカルシフェロール·カルシウム / ビタミン d ·カルペロス·カルペロス Vita-d3 · d-カルソール·ドロミット·イデオス·カルシポス d ·カルシポス d フォルテ·カルシポスビタミンd・ナイコプラスカルシグランフォルテ・オロカルd3・レシカルク-d"
NP	"A12BA01 ·塩化カリウム ミネラルサプリメント
カルデュム·カレオリド·カリポズ·カリソル·カリタブ·カリウム·カリウムクロリド·カリウムクロリド· kay-cee-l"
NP	"A12BA02 ·クエン酸カリウム ミネラルサプリメント
アカルカ·アルカシット·カホス·カリウム·カリウムシトラット·ネフロシトラン·クエン酸カリウム·ウロシット·ウロシット-k"
NP	"A12CB01 ·硫酸亜鉛 ミネラルサプリメント
シンクスルファット・ソルベジンク・ジンクテラル"
NP	"A12CC30マグネシウム（各種塩の組み合わせ） ミネラルサプリメント
Magne-Balans Plus ·マグネシウム·マグネシウム、ブランディング AV Salter · Magnetrans · Magnezin · Nycoplus マグネシウム"
NP	"A12CE01・セレン酸ナトリウム  ミネラルサプリメント
セレン酸ナトリウム"
NP	"A16AA04 ·メルカプタミン その他の消化管および代謝関連製品
シスタゴン・メルカプタミン・プロシスビ"
